Command,MathBran,Default Args,Comment
vec, MB_ACCENT_ARROW,⏴⏵,
breve, MB_ACCENT_BREVE,⏴⏵,
dddot, MB_ACCENT_TRIPLE_DOTS,⏴⏵,
ddot, MB_ACCENT_DOUBLE_DOTS,⏴⏵,
dot, MB_ACCENT_DOT,⏴⏵,
hat, MB_ACCENT_HAT,⏴⏵,
bar, MB_ACCENT_BAR,⏴⏵,
tilde, MB_ACCENT_TILDE,⏴⏵,
sum, MB_SUMMATION,,
prod, MB_PRODUCT,,
coprod, MB_COPRODUCT,,
bigcap, MB_INTERSECTION,,
bigcup, MB_UNION,,
biguplus,MB_UNION_PLUS,,
binom, MB_BINOMIAL_COEFFICIENTS,⏴n⏵⏴k⏵,
cases, MB_CASES,⏴⏵⏴⏵⏴⏵⏴⏵,
frac, MB_FRACTION,⏴⏵⏴⏵,
ceil, MB_GROUPING_CEIL,⏴⏵,
floor, MB_GROUPING_FLOOR,⏴⏵,
(), MB_GROUPING_PARENTHESIS,⏴⏵,
[], MB_GROUPING_BRACKETS,⏴⏵,
eval, MB_EVALSCRIPT,⏴a⏵⏴b⏵,
abs, MB_GROUPING_BARS,⏴⏵,
norm, MB_GROUPING_DOUBLE_BARS,⏴⏵,
iiint, MB_TRIPLE_INTEGRAL,,
iint, MB_DOUBLE_INTEGRAL,,
int, MB_INTEGRAL,,
oint, MB_CONTOUR_INTEGRAL,,
oiint, MB_CLOSED_SURFACE_INTEGRAL,,
oiiint, MB_CLOSED_VOLUME_INTEGRAL,,
mat, MB_MATRIX,⏴3⏵⏴3⏵,
sqrt, MB_ROOT,⏴⏵,
_^, MB_DUALSCRIPT,⏴⏵⏴⏵,
^, MB_SUPERSCRIPT,⏴⏵,
_, MB_SUBSCRIPT,⏴⏵,
max, MB_UNDERSCRIPTED_MAX,⏴⏵,
min, MB_UNDERSCRIPTED_MIN,⏴⏵,
sup, MB_UNDERSCRIPTED_SUP,⏴⏵,
inf, MB_UNDERSCRIPTED_INF,⏴⏵,
lim, MB_LIMIT,⏴⏵⏴⏵,
